,Title,Interventions,Phases
544,study iodine 131 anti b1 antibody 1st 2nd relapsed indolent b cell lymphomas b cell lymphomas transformed aggressive histolog,biological  tositumomab iodine 131 tositumomab  anti b1 antibody ,phase 2
545,bortezomib treating patients diffuse large b cell lymphoma refractory chemotherapi,drug  bortezomib,phase 2
546,r ice versus r dhap patients aged 18 65 relapse diffuse large b cell lymphoma,drug  rituximab drug  etoposide drug  carboplatine drug  ifosfamide   mesna drug  cisplatine drug  cytosine arabinoside drug  dexamethasone procedure  autologous stem cell transplantation drug  bcnu drug  cytarabine drug  melphalan,phase 3
547,flt pet ct vs fdg pet ct therapy monitoring diffuse large b cell lymphoma,diagnostic test  flt pet ct diagnostic test  fdg pet ct drug  flt,applicable
548,monoclonal antibody therapy combination chemotherapy treating patients stage ii  stage iii  stage iv diffuse large b cell lymphoma,biological  epratuzumab biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 2
549,study biomarkers using tissue samples older patients diffuse large b cell lymphoma treated combination chemotherapy without rituximab clinical trial ecog e4494,laboratory biomarker analysi,nan
550,acvbp plus rituximab versus chop plus rituximab patients diffuse large b cell lymphoma age adjusted ipi 1,drug  rituximab drug  doxorubicin drug  cyclophosphamid,phase 3
551,study evaluating safety pharmacokinetics jcar017 b cell non hodgkin lymphoma  transcend nhl 001 ,biological  jcar017  lisocabtagene maraleucel  single dose schedule biological  jcar017  lisocabtagene maraleucel  2 dose schedul,phase 1
552,acvbp followed asct patients bcl 2 positive diffuse large b cell lymphoma,drug  doxorubicin drug  cyclophosphamide procedure  autologous stem cell transplant,phase 2 phase 3
553,dosimetry biodistribution 18f  fludarabine lymphoid malign,18f    fludarabine pet ct,phase 1
554,dosimetry validation study 131iodine anti b1  murine  radioimmunotherapy chemotherapy refractory low grade b cell lymphomas low grade lymphomas transformed higher grade histolog,biological  tositumomab  anti b1 antibody  iodine 131 tositumomab,phase 2
555,comparison study rituximab plus sargramostim rituximab alone relapsed follicular b cell lymphoma  form non hodgkin lymphoma,drug  sargramostim  leukine  drug  rituximab,phase 2
556,trial patients diffuse large b cell lymphoma comparing pixantrone doxorubicin,drug  cpop r drug  chop r,phase 2
557,r chop 14 versus r chop 21 darbepoetin alpha patients aged 60 80 years diffuse large b cell lymphoma,drug  darbepoetin alfa,phase 3
558,ifosfamide carboplatin etoposide rituxan followed zevalin relapsed refractory intermediate grade b cell lymphoma,drug  ifosfamide drug  carboplatin drug  etoposide drug  rituximab drug  90y zevalin,phase 2
559,pet scans patients diffuse large b cell lymphoma receiving rituximab  cyclophosphamide  doxorubicin  vincristine  prednison,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate procedure  positron emission tomographi,applicable
560,chidamide patients relapse refractory diffuse large b cell lymphoma follicular lymphoma,drug  chidamid,phase 2
561,study sgn 40 patients relapsed diffuse large b cell lymphoma,drug  sgn 40,phase 2
562,trivalent baculovirus expressed influenza ha vaccine adults non hodgkin b cell lymphoma,biological  trivalent inactivated influenza vaccine biological  trivalent baculovirus expressed influenza ha vaccin,phase 2
563,gm csf without vaccine therapy combination chemotherapy rituximab first line therapy treating patients stage ii  stage iii  stage iv diffuse large b cell lymphoma,drug  autologous immunoglobulin idiotype klh conjugate vaccine drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  rituximab drug  sargramostim drug  vincristine procedure  intervention procedure procedure  antibody therapy procedure  biological therapy procedure  chemotherapy procedure  colony stimulating factor therapy procedure  cytokine therapy procedure  monoclonal antibody therapy procedure  non specific immune modulator therapy procedure  therapeutic procedure procedure  tumor cell derivative vaccine procedure  vaccine therapi,phase 3
564,axicabtagene ciloleucel expanded access studi,biological  axicabtagene ciloleucel,nan
565,safety antitumor activity study loncastuximab tesirine durvalumab diffuse large b cell  mantle cell  follicular lymphoma,drug  loncastuximab tesirine durvalumab,phase 1
566,phase safety  pk pd study kw 2478 patients multiple myeloma  chronic lymphocytic leukaemia b cell non hodgkin lymphoma,drug  kw 2478,phase 1
567,ofatumumab initial systemic treatment indolent b cell lymphoma,drug  ofatumumab,phase 2
568,oblimersen  rituximab  cyclophosphamide  doxorubicin  vincristine  prednisone treating patients stage ii  stage iii  stage iv diffuse large b cell lymphoma,biological  oblimersen sodium biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 1
569,dose augmented rituximab ice pts primary refractory poor risk relapsed aggressive b cell nhl,drug  rituximab  ifosfamide  carboplatin  vp 16  mesna  g csf  stem cell transpl,phase 2
570,carfilzomib  rituximab  combination chemotherapy treating patients diffuse large b cell lymphoma,drug  carfilzomib biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone laboratory biomarker analysi,phase 1 phase 2
571,phase iia study redirected autologous cells engineered contain anti cd19 attached tcrz 4 signaling domains patients chemotherapy relapsed refractory cd19  lymphoma,biological  cart 19,phase 2
572,rituximab  romidepsin  lenalidomide treating patients recurrent refractory b cell non hodgkin lymphoma,biological  rituximab drug  lenalidomide drug  romidepsin laboratory biomarker analysi,phase 1 phase 2
573,vorinostat  cladribine  rituximab treating patients mantle cell lymphoma  relapsed chronic lymphocytic leukemia  relapsed b cell non hodgkin lymphoma,drug  cladribine laboratory biomarker analysis biological  rituximab drug  vorinostat,phase 2
574,study obinutuzumab combination idasanutlin venetoclax participants relapsed refractory  r r  follicular lymphoma  fl  rituximab combination idasanutlin venetoclax participants r r diffuse large b cell lymphoma  dlbcl ,drug  idasanutlin drug  obinutuzumab drug  venetoclax drug  rituximab,phase 1 phase 2
575,sar3419 administered weekly patients relapsed refractory cd19 positive b cell non hodgkin lymphoma,drug  sar3419,phase 1
576,alisertib without rituximab treating patients relapsed refractory b cell non hodgkin lymphoma,drug  alisertib biological  rituximab laboratory biomarker analysi,phase 2
577,study bruton tyrosine kinase inhibitor subjects relapsed refractory marginal zone lymphoma,drug  ibrutinib,phase 2
578,vorinostat combination chemotherapy rituximab treating patients hiv related diffuse large b cell non hodgkin lymphoma aggressive b cell lymphoma,drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide laboratory biomarker analysis pharmacological study drug  prednisone biological  rituximab drug  vincristine sulfate drug  vorinostat,phase 1 phase 2
579,ofatumumab patients relapsed progressive diffused large b cell lymphoma  dlbcl  ineligible relapse progression transpl,drug  ofatumumab,phase 2
580,phase ii study brentuximab vedotin combination multi agent chemotherapy front line treatment patients cd30 positive primary mediastinal large b cell  diffuse large b cell  grey zone lymphoma,drug  brentuximab vedotin,phase 1 phase 2
581,safety feasibility study combination state art chemoimmunotherapy  intensive central nervous system prophylaxis scrotal irradiation treat primary diffuse large b cell lymphoma testi,drug  rituximab  cyclophosphamide  doxorubicin  vincristine  prednisolone  liposomal cytarabine  methotrex,phase 2
582,combination therapy using lenalidomide  revlimid   low dose dexamethasone rituximab treatment rituximab resistant  non aggressive b cell lymphoma,drug  lenalidomide low dose dexamethasone plus rituximab drug  lenalidomide   rituximab,phase 2
583,safety pharmacology study atezolizumab  mpdl3280a  administered obinutuzumab tazemetostat participants relapsed refractory follicular lymphoma diffuse large b cell lymphoma,drug  atezolizumab drug  obinutuzumab drug  tazemetostat,phase 1
584,cyclophosphamide alemtuzumab lymphoma,drug  cyclophosphamide drug  alemtuzumab,phase 1
585,lenalidomide r chop b cell lymphoma,drug  lenalidomide r chop,phase 1 phase 2
586,cci 779 treating patients recurrent refractory b cell non hodgkin lymphoma chronic lymphocytic leukemia,drug  temsirolimu,phase 2
587,detection quant differences hodgkin lymphoma diffuse large b cell lymphoma using positron emission tomography computed tomography  pet ct ,radiation  fludeoxyglucose f18 procedure  computed tomography procedure  positron emission tomographi,applicable
588,study evaluate safety  efficacy pharmacokinetics rituximab  mabthera rituxan  participants diffuse large b cell lymphoma  dlbcl  follicular lymphoma  fl ,drug  rituximab drug  cyclophosphamide drug  vincristine drug  doxorubicin drug  prednisone drug  bendamustin,phase 3
589,bueam conditioning autologous stem cell transplantation  asct  treat diffuse large b cell lymphoma  dlcbl ,drug  busulfan  etoposide  cytarabine  melphalan,phase 2
590,rituximab combination chemotherapy treating patients previously untreated high  high intermediate risk diffuse large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone laboratory biomarker analysis pharmacological studi,phase 2
591,fenretinide rituximab treating patients b cell non hodgkin lymphoma,drug  fenretinide drug  rituximab,phase 1 phase 2
592,study evaluating safety efficacy obinutuzumab  polatuzumab vedotin  pola   atezolizumab  atezo  participants relapsed refractory follicular lymphoma  fl  rituximab  atezo  pola participants relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  atezolizumab  tecentriq  drug  obinutuzumab drug  polatuzumab vedotin drug  rituximab,phase 1 phase 2
593,study velcade rituximab patients relapsed refractory b cell non hodgkin lymphoma,drug  bortezomib   rituximab drug  rituximab,phase 3
594,jcar014 durvalumab treating patients relapsed refractory b cell non hodgkin lymphoma,biological  autologous anti cd19car 4 1bb cd3zeta egfrt expressing cd4  cd8  central memory lymphocytes jcar014 drug  cyclophosphamide biological  durvalumab drug  fludarabine phosphate laboratory biomarker analysis pharmacological studi,phase 1
595,study busulfan  etoposide  cytarabine  melphalan  bueam  conditioning autologous stem cell transplantation  asct  treat b cell lymphoma except diffuse large b cell lymphoma,drug  busulfan  etoposide  cytarabine  melphalan,phase 2
596,pilot study anti cd20 car engineered cells patients chemotherapy resistant refractory cd20  lymphoma,biological  cart20,phase 1 phase 2
597,phase ii study pembrolizumab patients relapsed refractory extranodal nk cell lymphoma  enktl   nasal type ebv associated diffuse large b cell lymphomas  ebv dlbcl ,drug  pembrolizumab,phase 1 phase 2
598,vorinostat  rituximab  combination chemotherapy treating patients newly diagnosed stage ii  stage iii  stage iv diffuse large b cell lymphoma,drug  cyclophosphamide drug  doxorubicin hydrochloride laboratory biomarker analysis drug  prednisone biological  rituximab drug  vincristine sulfate drug  vorinostat,phase 1 phase 2
599,study oral ly317615 relapsed refractory diffuse large b cell lymphomas ,drug  ly317615,phase 2
600,oblimersen sodium combination chemotherapy treating patients newly diagnosed stage stage ii  stage iii  stage iv diffuse large b cell lymphoma,biological  oblimersen sodium biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone procedure  biopsy genetic  microarray analysis immunohistochemistry staining method genetic  gene expression analysis genetic  cytogenetic analysi,applicable
601,sunitinib treating patients relapsed refractory diffuse mediastinal large b cell lymphoma,drug  sunitinib mal,phase 2
602,therapy patients untreated age adjusted international prognostic index low intermediate risk  high intermediate risk  high risk diffuse large b cell lymphoma,drug  etoposide  carboplatin  ifosfamide drug  rituximab  ifosfamide  etoposide  carboplatin drug  rituximab  ifosfamide  etoposide  carboplatin  stem cell collection  mitoxantrone  cyclophosphamide etoposide  carmustin,phase 2
603,trial vorinostat combination cyclophosphamide  etoposide  prednisone rituximab elderly patients relapsed diffuse large b cell lymphoma  dlbcl ,drug  rituximab  cyclophosphamide  etoposide  prednisone  vorinostat qol questionnaire  peg filgrastim filgrastim,phase 1 phase 2
604,genetically engineered lymphocytes  cyclophosphamide  aldesleukin treating patients relapsed refractory mantle cell lymphoma indolent b cell non hodgkin lymphoma,biological  therapeutic autologous lymphocytes drug  cyclophosphamide biological  aldesleukin genetic  polymerase chain reaction genetic  gene rearrangement analysis procedure  lymph node biopsy biological  genetically engineered lymphocyte therapy procedure  bone marrow aspiration flow cytometry laboratory biomarker analysis enzyme linked immunosorbent assay,phase 1
605,ct 011 mab dlbcl patients following asct,drug  ct 011,phase 2
606,cd19 targeting 3rd generation car cells refractory b cell malignancy   phase iia trial ,biological  autologous 3rd generation cd19 targeting car cel,phase 1 phase 2
607,interleukin 2 following 4scar19 22 cells targeting refractory recurrent b cell malign,biological  4scar19 22 cells drug  interleukin 2,phase 1 phase 2
608,cd19 targeting  3rd generation car cells refractory b cells malign,biological  car cel,phase 2
609,study investigational drug  asp3026  patients advanced malignancies  solid tumors b cell lymphoma ,drug  asp3026,phase 1
610,car cells refractory b cell malign,biological  autologous cd19 targeting car cel,phase 1 phase 2
611,lenalidomide combined modified da epoch rituximab  epoch r2  primary effusion lymphoma kshv associated large cell lymphoma,drug  lenalidomide drug  rituximab drug  prednisone drug  etopside drug  doxorubicin drug  vincristine drug  cyclophosphamid,phase 1 phase 2
612,anti cd19 car therapy bridging hsct cd19  b cell malign,genetic  second generation car cells procedure  hematological stem cell transplant,phase 1 phase 2
613,anti cd19 car therapy combine hsct treat mrd  b cell malign,genetic  second generation car cells procedure  hematological stem cell transplant,phase 1
614,efficacy safety proof concept study daratumumab relapsed refractory mantle cell lymphoma  diffuse large b cell lymphoma  follicular lymphoma,drug  daratumumab,phase 2
615,study obinutuzumab  rituximab  polatuzumab vedotin  venetoclax relapsed refractory follicular lymphoma  fl  diffuse large b cell lymphoma  dlbcl ,drug  obinutuzumab drug  rituximab drug  polatuzumab vedotin drug  venetoclax,phase 1
616,bortezomib vorinostat treating patients recurrent mantle cell lymphoma recurrent refractory diffuse large b cell lymphoma,drug  bortezomib laboratory biomarker analysis drug  vorinostat,phase 2
617,cd19 chimeric antigen receptor  car  modified cell therapy treating patients b cell malign,genetic  second generation car cel,phase 1
618,treatment relapsed chemotherapy refractory chronic lymphocytic leukemia indolent b cell lymphoma using autologous cells genetically targeted b cell specific antigen cd19,biological  therapeutic autologous lymphocytes drug  cyclophosphamid,phase 1 phase 2
619,study idasanutlin combination obinutuzumab relapsed refractory  r r  follicular lymphoma  fl  combination rituximab r r diffuse large b cell lymphoma  dlbcl  particip,drug  idasanutlin drug  obinutuzumab drug  rituximab,phase 1 phase 2
620,detection characterization residual masses lymphoma,nan,nan
621,phase 2 clinical trial rituxan b glucan pgg relapsed indolent non hodgkin lymphoma,drug  imprime pgg drug  rituximab,phase 2
622,clinical study compare efficacy safety rituximab biosimilar hlx01 rituximab combination chop  previously untreated subjects cd20  dlbcl,drug  hlx01 drug  rituximab drug  chop,phase 3
623,lenalidomide rituximab treatment relapsed mantle cell lymphoma  mcl  diffuse large b cell lymphoma,drug  lenalidomide drug  rituximab,phase 1 phase 2
624,tlr9 agonist sd 101  anti ox40 antibody bms 986178  radiation therapy treating patients low grade b cell non hodgkin lymphoma,biological  anti ox40 antibody bms 986178 laboratory biomarker analysis radiation  radiation therapy drug  tlr9 agonist sd 101,phase 1
625,intratumoral poly iclc plus low dose local radiation low grade recurrent b cell lymphoma,drug  poly iclc,phase 1
626,salvage therapy idarubicin relapsing cns lymphoma,drug  idarubicin,phase 2
627,phase ii trial combined modality treatment primary central nervous system lymphoma,drug  high dose methotrexate drug  high dose cytarabine radiation  radiotherapi,phase 2
628,rituxan vs bexxar combined carmustine  etoposide  cytarabine melphalan  beam  autologous hematopoietic stem cell transplantation  bmt ctn 0401 ,drug  autologous transplantation using rituxan beam drug  autologous transplantation using bexxar beam,phase 3
629,prospective multicenter dose finding phase ii pilot trial evaluate efficacy safety lr chop21 elderly patients untreated diffuse large b cell lymphoma,drug  lr chop21,phase 2
630,early evaluation response large b cell non hodgkin’lymphoma chemotherapy pet ct,procedure  pet ct 20 days first cycle chemotherapi,applicable
631,study syb l 0501 combination rituximab treat relapsed refractory diffuse large b cell lymphoma,drug  syb l 0501 drug  rituximab,phase 2
632,brentuximab vedotin  bendamustine  rituximab patients relapsed refractory b cell non hodgkin lymphoma,drug  brentuximab drug  bendamustine drug  rituximab,phase 2
633,study investigate safety  pharmacokinetics  pharmacodynamics clinical activity gsk2816126 subjects relapsed refractory diffuse large b cell lymphoma  transformed follicular lymphoma  non hodgkin lymphomas  solid tumors multiple myeloma,drug  gsk2816126,phase 1
634,study standard dose rituximab  ifosfamide  carboplatin etoposid,drug  velcade  bortezomib   rituximab  ifosfamide  carboplatin  etoposid,phase 1
635,selinexor plus combination chemotherapy treating patients advanced b cell non hodgkin lymphoma,drug  selinexor,phase 1 phase 2
636,obinutuzumab  venetoclax  lenalidomide treating patients relapsed refractory b cell non hodgkin lymphoma,drug  lenalidomide biological  obinutuzumab drug  venetoclax,phase 1
637,bnhl 2015 children adolescents china,drug  prednisone vincristine  cyclophosphamide drug  cyclophosphamide  vincristine  cytarabine  doxorubincin  prednisone drug  ifosphamide  etoposide  methotrexate  vincristine  prednisone drug  cyclophosphamide  vindelsine  cytarabine  doxorubincin  prednisone drug  ifosphamide  etoposide  methotrexate  vindelsine  prednisone drug  rituximab,phase 2 phase 3
638,kappa cd28 lymphocytes  chronic lymphocytic leukemia  b cell lymphoma multiple myeloma  chark,biological  kappa cd28 cel,phase 1
639,patients relapsed refractory diffuse large b cell non hodgkin lymphoma,drug  ofatumumab,phase 2
640,cd19 specific cell infusion patients b lineage lymphoid malign,procedure  leukapheresis procedure  stem cell transplant procedure  cd19 specific cell infusion drug  il 2 drug  carmustine drug  etoposide drug  cytarabine drug  melphalan,phase 1
641,tisagenlecleucel adult patients aggressive b cell non hodgkin lymphoma,drug  tisagenlecleucel optional bridging lymphodepleting chemotherapy drug  platinum based immunochemotherapy followed responding patients high dose chemotherapy hsct,phase 3
642,rituximab autologous stem cell transplant relapsed b cell non hodgkin lymphoma,drug  rituximab 375 mg m2,phase 2
643,phase 2 poor risk dlbcl tli atg followed matched allogeneic ht consolidation autologous hct,procedure  autologous hematopoietic stem cell transplantation  auto hsct  procedure  allogeneic hematopoietic stem cell transplantation  allo hsct  procedure  total lymphoid irradiation  tli  drug  rituximab drug  carmustine drug  etoposide drug  filgrastim drug  anti thymocyte globulin  atg  drug  cyclosporine drug  mycophenolate mofetil  mmf  drug  cyclophosphamide drug  acetaminophen drug  diphenhydramine drug  hydrocortisone drug  methylprednisolon,phase 2
644,phase ii study evaluate safety cellular immunotherapy using autologous cells engineered express cd20 specific chimeric antigen receptor patients relapsed refractory b cell non hodgkin lymphoma,biological  chimeric antigen receptor cell therapy drug  cyclophosphamide drug  fludarabine laboratory biomarker analysis procedure  leukapheresi,phase 1 phase 2
645,trial determine efficacy safety jcar017 adult subjects aggressive b cell non hodgkin lymphoma,drug  jcar017,phase 2
646,study ibrutinib combination bendamustine rituximab patients relapsed refractory aggressive bcl,drug  bendamustine 90 mg m2 iv days 1 2  cycles 1 6,phase 2
647,cpi 613  bendamustine hydrochloride  rituximab treating patients relapsed refractory b cell non hodgkin lymphoma,drug  6 8 bis benzylthio octanoic acid drug  bendamustine hydrochloride biological  rituximab laboratory biomarker analysi,phase 1
648,mt2017 45  car cell therapy heme malign,drug  kymriah drug  yescarta drug  fludarabine drug  cyclophosphamid,phase 2
649,phase ii trial alemtuzumab  campath  dose adjusted epoch rituximab  da epoch r  relapsed refractory diffuse large b cell hodgkin lymphoma,biological  campath biological  rituximab drug  epoch,phase 2
650,copanlisib rituximab relapsed indolent b cell non hodgkin lymphoma  inhl ,drug  copanlisib  bay 80 6946  drug  placebo drug  rituximab,phase 3
651,phase ii study ibrutinib patients relapsed refractory marginal zone lymphoma,drug  ibrutinib,phase 2
652,study lenalidomide maintenance versus placebo responding elderly patients dlbcl treated r chop,drug  lenalidomide drug  placebo,phase 3
653,study safety efficacy pharmacokinetics ct 1530 patients relapsed refractory b cell non hodgkin lymphoma  chronic lymphocytic leukemia  waldenstrom macroglobulinemia,drug  ct 1530,phase 1 phase 2
654,lenalidomide ibrutinib treating patients relapsed refractory b cell non hodgkin lymphoma,drug  ibrutinib drug  lenalidomide pharmacological studi,phase 1
655,effectiveness circulating dna predicting relapse overall survival nhl pati,nan,nan
656,vaccine therapy without cryosurgery treating patients residual  relapsed  refractory b cell non hodgkin lymphoma,biological  dendritic cell vaccine therapy procedure  cryotherapy biological  pneumococcal polyvalent vaccine laboratory biomarker analysis immunoenzyme technique immunohistochemistry staining method biological  autologous dendritic cell tumor fusion vaccin,applicable
657,hujcar014 car cells treating adult patients relapsed refractory b cell non hodgkin lymphoma acute lymphoblastic leukemia,biological  autologous human anti cd19car 4 1bb cd3zeta egfrt expressing cd4  cd8  lymphocytes drug  cyclophosphamide drug  fludarabine laboratory biomarker analysis procedure  leukapheresis pharmacological studi,phase 1
658,da epoch r induction followed nivolumab consolidation newly diagnosed myc  bcl2 bcl6 rearranged hgbl,drug  da epoch r followed nivolumab,phase 2
659,fusion protein cytokine therapy rituximab treating patients b cell non hodgkin lymphoma,biological  di leu16 il2 immunocytokine biological  rituximab flow cytometry immunohistochemistry staining method pharmacological study laboratory biomarker analysis enzyme linked immunosorbent assay genetic  reverse transcriptase polymerase chain react,phase 1
660,study obinutuzumab chinese participants cd20  malignant disea,drug  obinutuzumab,phase 1
661,lenalidomide rituximab maintenance therapy treating patients b cell non hodgkin lymphoma,drug  lenalidomide biological  rituximab genetic  polymerase chain reaction genetic  nucleic acid sequencing genetic  polymorphism analysis flow cytometry laboratory biomarker analysi,phase 1
662,umbilical cord blood nk cells  rituximab  high dose chemotherapy  stem cell transplant treating participants recurrent refractory b cell non hodgkin lymphoma,procedure  autologous hematopoietic stem cell transplantation drug  carmustine biological  cord blood derived expanded allogeneic natural killer cells drug  cytarabine drug  etoposide biological  filgrastim drug  lenalidomide drug  melphalan biological  rituximab,phase 2
663,study evaluating chemotherapy combination inotuzumab ozogamicin subjects non hodgkin lymphoma,drug  inotuzumab ozogamicin rituximab  cyclophosphamide vincristine prednisone drug  inotuzumab ozogamicin rituximab gemcitabine cisplatinum dexamethason,phase 1
664,investigational immuno therapy study determine safety urelumab given combination nivolumab solid tumors b cell non hodgkin lymphoma,biological  urelumab biological  nivolumab,phase 1 phase 2
665,cd22 redirected autologous cells ,biological  cart22 cells transduced lentiviral vector express anti cd22 scfv tcrz 41bb,phase 1
666,zevalin plus bucye high dose therapy b cell non hodgkin lymphoma,drug  zevalin bucy,phase 2
667,treatment non hodgkin lymphoma 90y hll2 igg,drug  radiolabeled epratuzumab,phase 1 phase 2
668,clinical study cd19 targeted car patients cd19  lymphoma leukemia,biological  icar19 car cel,phase 1
669,feasibility safety study universal dual specificity cd19 cd20 cd22 car cell immunotherapy relapsed refractory leukemia lymphoma,biological  universal dual specificity cd19 cd20 cd22 car cel,phase 1 phase 2
670,study evaluating ucart019 patients relapsed refractory cd19  leukemia lymphoma,biological  ucart019,phase 1 phase 2
671,phase ii study combined modality treatment primary testicular non hodgkin lymphoma,drug  rituximab drug  chop drug  intrathecal methotrexate procedure  radiotherapi,phase 2
672,trial hu5f9 g4 combination rituximab relapsed refractory b cell non hodgkin lymphoma,drug  hu5f9 g4 drug  rituximab,phase 1 phase 2
673,study patients non hodgkin lymphoma,drug  enzastaurin,phase 2
674,safety study assess afm11 patients relapsed refractory cd19 positive b cell nhl,drug  afm11,phase 1
675,study car 20 19 cells patients relapsed refractory b cell malign,biological  car 20 19 ,phase 1
676,retrospective analysis relapsed refractory aggressive non hodgkin lymphoma treated z beam plus asct,nan,nan
677,study efficacy safety ublituximab patients relapsed refractory b cell non hodgkin lymphoma,drug  ublituximab,phase 1 phase 2
678,phase iia study cart19 cells patients chemotherapy resistant refractory cd19  leukemia lymphoma,biological  cart 19,phase 1
679,long term follow study patients receiving car 20 19 cel,long term follow patients received car 20 19 cel,nan
680,treatment refractory relapsed non hodgkin lymphoma tricar cd19,biological  tricar cd19,phase 1 phase 2
681,avastin plus rituximab patients b cell non hodgkin lymphoma,drug  avastin drug  rituximab,phase 2
682,veltuzumab milatuzumab treating patients relapsed refractory b cell non hodgkin lymphoma,biological  milatuzumab biological  veltuzumab procedure  correlative special studies procedure  quantitative b   nk cell subsets procedure  pharmacokinetics procedure  human anti human antibodies biological  veltuzumab milatuzumab,phase 1 phase 2
683,observational study b cell non hodgkin lymphomas  nhl  associated hepatitis c virus  hcv ,nan,nan
684,single agent ofatumumab vs  single agent rituximab indolent b cell non hodgkin lymphoma relapsed rituximab containing therapi,biological  ofatumumab biological  rituximab,phase 3
685,rituximab  fludarabine  cyclophosphamide  yttrium 90 ibritumomab tiuxetan treating patients relapsed b cell non hodgkin lymphoma,biological  rituximab drug  cyclophosphamide drug  fludarabine phosphate radiation  yttrium 90 ibritumomab tiuxetan,phase 1 phase 2
686,clinical trial buparlisib ibrutinib lymphoma,drug  buparlisib drug  ibrutinib,phase 1
687,multi center study ibrutinib combination medi4736 subjects relapsed refractory lymphoma,drug  ibrutinib drug  medi4736,phase 1 phase 2
688,study evaluating safety efficacy jwcar029 adult subjects relapsed refractory b cell non hodgkin lymphoma,biological  jwcar029,phase 1
689,study evaluating safety efficacy jwcar029 adult subjects relapsed refractory b cell non hodgkin lymphoma,biological  jwcar029,phase 1
690,open label phase lb study ro7082859 atezolizumab adult patients relapsed refractory b cell non hodgkin lymphoma,drug  ro7082859 drug  atezolizumab drug  obinutuzumab,applicable
691,safety efficacy study ibrutinib pediatric young adult participants relapsed refractory mature b cell non hodgkin lymphoma,drug  ibrutinib drug  rituximab drug  ifosfamide drug  carboplatin drug  etoposide drug  vincristine drug  idarubicin drug  dexamethason,phase 3
692,ribomustin second line therapy relapsed refractory indolent b cell non hodgkin lymphoma,ribomustin rituximab,nan
693,study compare efficacy safety jcar017 standard care adult subjects high risk  transplant eligible relapsed refractory aggressive b cell non hodgkin lymphoma,drug  standard care genetic  jcar017,phase 3
694,ctl019 specification map dlbcl pati,biological  ctl019,nan
695,iit cti bendamustine  rituximab  pixantrone relapsed refractory b cell non hodgkin lymphoma,drug  bendamustine   rituximab   pixantron,phase 1 phase 2
696,phase study intrathecal rituximab patients lymphomatous men,drug  intrathecal rituximab,phase 1
697,study escalating doses dcds0780a participants relapsed refractory b cell non hodgkin lymphoma,drug  dcds0780a drug  rituximab drug  obinutuzumab,phase 1
698,bortezomib gemcitabine treating patients relapsed b cell non hodgkin lymphoma,biological  rituximab drug  bortezomib drug  gemcitabine hydrochloride questionnaire administr,phase 1 phase 2
699,ibrutinib treating relapsed refractory b cell non hodgkin lymphoma patients hiv infect,drug  ibrutinib laboratory biomarker analysis pharmacological studi,phase 1
700,dose adjusted epoch r  treat mature b cell malign,drug  da epoch r dlbcl  ptld  pmbcl drug  methotrexate drug  etoposide drug  doxorubicin drug  vincristine drug  rituximab drug  cyclophosphamide drug  prednisone drug  g csf,early phase 1
701,observational study patients malignant lymphomas treated mabthera® sc everyday clinical pract,nan,nan
702,r ice high dose cyclophosphamide pet ct diffuse large b cell non hodgkin lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  ifosfamide drug  carboplatin drug  etoposide drug  high dose cyclophosphamide procedure  pet scan,phase 2
703,safety efficacy entospletinib  ento  gs 9973   combined vincristine  vcr  adult participants relapsed refractory b cell non hodgkin lymphoma  nhl ,drug  ento drug  vcr,phase 1 phase 2
704,xlcart001 treatment relapsed refractory high risk b cell malignancy subject,biological  chimeric antigen receptor cel,phase 2
705,study rituximab hcvad alternating rituximab methotrexate cytarabine versus standard rituximab chop every 21 days patients newly diagnosed high risk aggressive b cell non hodgkin lymphomas patients 60 years old young,drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  dexamethasone drug  methotrexate drug  cytarabine drug  prednison,phase 2
706,dose escalation study ro7082859 single agent combination obinutuzumab  administered fixed  single pre treatment dose obinutuzumab participants relapsed refractory b cell non hodgkin lymphoma,drug  ro7082859 drug  obinutuzumab drug  tocilizumab,phase 1
707,study polatuzumab vedotin combination rituximab obinutuzumab  cyclophosphamide  doxorubicin  prednisone participants b cell non hodgkin lymphoma,drug  cyclophosphamide drug  doxorubicin drug  obinutuzumab drug  polatuzumab vedotin drug  prednisolone drug  prednisone drug  rituximab,phase 1 phase 2
708,phase 2 study zevalin versus zevalin motexafin gadolinium patients rituximab refractory low grade follicular b cell non hodgkin lymphoma,drug  zevalin regimen drug  moxtezafin gadolinium,phase 2
